Year,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID
2007,HC503,BOC03,AGE04,59
2007,HC503,BOC03,AGE05,59
2007,HC503,BOC03,AGE06,59
2007,HC503,BOC03,AGE07,59
2007,HC503,BOC03,AGE08,59
2008,HC503,BOC01,OVR01,59
2008,HC503,BOC02,GEN01,59
2008,HC503,BOC02,GEN02,59
2008,HC503,BOC03,AGE01,59
2008,HC503,BOC03,AGE04,59
2008,HC503,BOC03,AGE05,59
2008,HC503,BOC03,AGE06,59
2008,HC503,BOC03,AGE07,59
2008,HC503,BOC03,AGE08,59
2009,HC503,BOC01,OVR01,59
2009,HC503,BOC02,GEN01,59
2009,HC503,BOC02,GEN02,59
2009,HC503,BOC03,AGE01,59
2009,HC503,BOC03,AGE04,59
2009,HC503,BOC03,AGE05,59
2010,HC503,BOC01,OVR01,59
2010,HC503,BOC02,GEN01,59
2010,HC503,BOC02,GEN02,59
2010,HC503,BOC03,AGE01,59
2010,HC503,BOC03,AGE04,59
2010,HC503,BOC03,AGE05,59
2010,HC503,BOC03,AGE06,59
2010,HC503,BOC03,AGE07,59
2010,HC503,BOC03,AGE08,59
2011,HC503,BOC01,OVR01,59
2011,HC503,BOC02,GEN01,59
2011,HC503,BOC02,GEN02,59
2011,HC503,BOC03,AGE01,59
2011,HC503,BOC03,AGE04,59
2011,HC503,BOC03,AGE05,59
2011,HC503,BOC03,AGE06,59
2011,HC503,BOC03,AGE07,59
2011,HC503,BOC03,AGE08,59
2012,HC503,BOC01,OVR01,59
2012,HC503,BOC02,GEN01,59
2012,HC503,BOC02,GEN02,59
2012,HC503,BOC03,AGE01,59
2012,HC503,BOC03,AGE04,59
2012,HC503,BOC03,AGE05,59
2012,HC503,BOC03,AGE06,59
2012,HC503,BOC03,AGE07,59
2012,HC503,BOC03,AGE08,59
2013,HC503,BOC01,OVR01,59
2013,HC503,BOC02,GEN01,59
2013,HC503,BOC02,GEN02,59
2013,HC503,BOC03,AGE01,59
2013,HC503,BOC03,AGE04,59
2013,HC503,BOC03,AGE05,59
2013,HC503,BOC03,AGE06,59
2013,HC503,BOC03,AGE07,59
2013,HC503,BOC03,AGE08,59
2004,HC601,BOC01,OVR01,59
2004,HC601,BOC02,GEN01,59
2004,HC601,BOC02,GEN02,59
2004,HC601,BOC03,AGE01,59
2004,HC601,BOC03,AGE04,59
2004,HC601,BOC03,AGE05,59
2004,HC601,BOC03,AGE06,59
2004,HC601,BOC03,AGE07,59
2004,HC601,BOC03,AGE08,59
2005,HC601,BOC01,OVR01,59
2005,HC601,BOC02,GEN01,59
2005,HC601,BOC02,GEN02,59
2005,HC601,BOC03,AGE01,59
2005,HC601,BOC03,AGE04,59
2005,HC601,BOC03,AGE05,59
2005,HC601,BOC03,AGE06,59
2005,HC601,BOC03,AGE07,59
2005,HC601,BOC03,AGE08,59
2006,HC601,BOC01,OVR01,59
2006,HC601,BOC02,GEN01,59
2006,HC601,BOC02,GEN02,59
2006,HC601,BOC03,AGE01,59
2006,HC601,BOC03,AGE04,59
2006,HC601,BOC03,AGE05,59
2006,HC601,BOC03,AGE06,59
2006,HC601,BOC03,AGE07,59
2006,HC601,BOC03,AGE08,59
2007,HC601,BOC01,OVR01,59
2007,HC601,BOC02,GEN01,59
2007,HC601,BOC02,GEN02,59
2007,HC601,BOC03,AGE01,59
2007,HC601,BOC03,AGE04,59
2007,HC601,BOC03,AGE05,59
2007,HC601,BOC03,AGE06,59
2007,HC601,BOC03,AGE07,59
2007,HC601,BOC03,AGE08,59
2008,HC601,BOC01,OVR01,59
2008,HC601,BOC02,GEN01,59
2008,HC601,BOC02,GEN02,59
