Year,IndicatorID,BreakOutCategoryId,Concentration
2005,HC303,BOC03,2.8
2005,HC303,BOC03,5.9
2006,HC303,BOC01,2.5
2006,HC303,BOC02,2.1
2006,HC303,BOC02,3.2
2006,HC303,BOC03,
2006,HC303,BOC03,0.7
2006,HC303,BOC03,1.1
2006,HC303,BOC03,3.7
2006,HC303,BOC03,2.5
2006,HC303,BOC03,5.2
2007,HC303,BOC01,2.7
2007,HC303,BOC02,2.3
2007,HC303,BOC02,3.3
2007,HC303,BOC03,
2007,HC303,BOC03,0.7
2007,HC303,BOC03,1.2
2007,HC303,BOC03,4.0
2007,HC303,BOC03,2.7
2007,HC303,BOC03,5.5
2008,HC303,BOC01,2.8
2008,HC303,BOC02,2.4
2008,HC303,BOC02,3.5
2008,HC303,BOC03,
2008,HC303,BOC03,0.8
2008,HC303,BOC03,1.3
2008,HC303,BOC03,4.0
2008,HC303,BOC03,2.8
2008,HC303,BOC03,5.7
2009,HC303,BOC01,2.7
2009,HC303,BOC02,2.4
2009,HC303,BOC02,3.2
2009,HC303,BOC03,
2009,HC303,BOC03,1.0
2009,HC303,BOC03,1.3
2009,HC303,BOC03,3.9
2009,HC303,BOC03,2.7
2009,HC303,BOC03,5.3
2010,HC303,BOC01,2.8
2010,HC303,BOC02,2.5
2010,HC303,BOC02,3.4
2010,HC303,BOC03,
2010,HC303,BOC03,0.9
2010,HC303,BOC03,1.3
2010,HC303,BOC03,4.1
2010,HC303,BOC03,2.8
2010,HC303,BOC03,5.6
2011,HC303,BOC01,3.0
2011,HC303,BOC02,2.6
2011,HC303,BOC02,3.5
2011,HC303,BOC03,
2011,HC303,BOC03,1.0
2011,HC303,BOC03,1.5
2011,HC303,BOC03,4.2
2011,HC303,BOC03,3.0
2011,HC303,BOC03,5.7
2012,HC303,BOC01,3.0
2012,HC303,BOC02,2.7
2012,HC303,BOC02,3.6
2012,HC303,BOC03,
2012,HC303,BOC03,1.2
2012,HC303,BOC03,1.5
2012,HC303,BOC03,4.2
2012,HC303,BOC03,3.0
2012,HC303,BOC03,5.8
2013,HC303,BOC01,3.1
2013,HC303,BOC02,2.8
2013,HC303,BOC02,3.7
2013,HC303,BOC03,
2013,HC303,BOC03,1.2
2013,HC303,BOC03,1.6
2013,HC303,BOC03,4.3
2013,HC303,BOC03,3.1
2013,HC303,BOC03,5.8
2004,HC501,BOC01,3.4
2004,HC501,BOC02,4.1
2004,HC501,BOC02,2.9
2004,HC501,BOC03,0.1
2004,HC501,BOC03,0.5
2004,HC501,BOC03,2.8
2004,HC501,BOC03,6.1
2004,HC501,BOC03,4.2
2004,HC501,BOC03,6.9
2005,HC501,BOC01,3.3
2005,HC501,BOC02,4.1
2005,HC501,BOC02,2.8
2005,HC501,BOC03,0.1
2005,HC501,BOC03,0.5
2005,HC501,BOC03,2.6
2005,HC501,BOC03,5.9
2005,HC501,BOC03,4.1
2005,HC501,BOC03,6.6
2006,HC501,BOC01,3.2
2006,HC501,BOC02,4.0
2006,HC501,BOC02,2.7
2006,HC501,BOC03,0.1
2006,HC501,BOC03,0.5
2006,HC501,BOC03,2.6
2006,HC501,BOC03,5.7
2006,HC501,BOC03,4.0
2006,HC501,BOC03,6.6
2007,HC501,BOC01,3.0
2007,HC501,BOC02,3.8
2007,HC501,BOC02,2.5
2007,HC501,BOC03,0.1
2007,HC501,BOC03,0.5
2007,HC501,BOC03,2.5
2007,HC501,BOC03,5.4
2007,HC501,BOC03,3.8
2007,HC501,BOC03,6.2
2008,HC501,BOC01,2.9
2008,HC501,BOC02,3.7
2008,HC501,BOC02,2.5
2008,HC501,BOC03,0.1
2008,HC501,BOC03,0.5
2008,HC501,BOC03,2.3
2008,HC501,BOC03,5.2
2008,HC501,BOC03,3.6
2008,HC501,BOC03,6.1
2009,HC501,BOC01,3.0
2009,HC501,BOC02,3.8
2009,HC501,BOC02,2.5
2009,HC501,BOC03,0.1
2009,HC501,BOC03,0.5
2009,HC501,BOC03,2.4
2009,HC501,BOC03,5.5
2009,HC501,BOC03,3.8
2009,HC501,BOC03,6.4
2010,HC501,BOC01,2.9
2010,HC501,BOC02,3.6
2010,HC501,BOC02,2.5
2010,HC501,BOC03,0.1
2010,HC501,BOC03,0.5
2010,HC501,BOC03,2.3
2010,HC501,BOC03,5.3
2010,HC501,BOC03,3.6
2010,HC501,BOC03,6.2
2011,HC501,BOC01,2.9
2011,HC501,BOC02,3.6
2011,HC501,BOC02,2.5
2011,HC501,BOC03,0.1
2011,HC501,BOC03,0.5
2011,HC501,BOC03,2.3
2011,HC501,BOC03,5.1
2011,HC501,BOC03,3.6
2011,HC501,BOC03,6.1
2012,HC501,BOC01,2.8
2012,HC501,BOC02,3.5
2012,HC501,BOC02,2.4
2012,HC501,BOC03,0.1
2012,HC501,BOC03,0.5
2012,HC501,BOC03,2.2
2012,HC501,BOC03,5.0
2012,HC501,BOC03,3.5
2012,HC501,BOC03,6.0
2013,HC501,BOC01,2.9
2013,HC501,BOC02,3.6
2013,HC501,BOC02,2.4
2013,HC501,BOC03,0.1
2013,HC501,BOC03,0.5
2013,HC501,BOC03,2.4
2013,HC501,BOC03,5.1
2013,HC501,BOC03,3.6
2013,HC501,BOC03,6.1
2004,HC503,BOC01,4.0
2004,HC503,BOC02,4.1
2004,HC503,BOC02,4.0
2004,HC503,BOC03,
2004,HC503,BOC03,1.7
2004,HC503,BOC03,2.1
2004,HC503,BOC03,4.7
2004,HC503,BOC03,4.0
2004,HC503,BOC03,5.3
2005,HC503,BOC01,3.8
2005,HC503,BOC02,3.8
2005,HC503,BOC02,3.9
2005,HC503,BOC03,
2005,HC503,BOC03,1.3
2005,HC503,BOC03,1.8
2005,HC503,BOC03,4.6
2005,HC503,BOC03,3.9
2005,HC503,BOC03,5.2
2006,HC503,BOC01,3.6
2006,HC503,BOC02,3.4
2006,HC503,BOC02,3.7
2006,HC503,BOC03,
2006,HC503,BOC03,1.4
2006,HC503,BOC03,1.7
2006,HC503,BOC03,4.3
2006,HC503,BOC03,3.6
2006,HC503,BOC03,4.8
2007,HC503,BOC01,3.3
2007,HC503,BOC02,3.1
2007,HC503,BOC02,3.4
2007,HC503,BOC03,3.5
2007,HC503,BOC03,1.4
2007,HC503,BOC03,1.6
2007,HC503,BOC03,3.9
2007,HC503,BOC03,3.3
2007,HC503,BOC03,4.5
2008,HC503,BOC01,3.4
2008,HC503,BOC02,3.3
2008,HC503,BOC02,3.4
2008,HC503,BOC03,3.1
2008,HC503,BOC03,1.4
2008,HC503,BOC03,1.6
2008,HC503,BOC03,4.0
2008,HC503,BOC03,3.4
2008,HC503,BOC03,4.6
2009,HC503,BOC01,3.3
2009,HC503,BOC02,3.2
2009,HC503,BOC02,3.3
2009,HC503,BOC03,
2009,HC503,BOC03,1.5
2009,HC503,BOC03,1.6
2010,HC503,BOC01,3.1
2010,HC503,BOC02,3.1
2010,HC503,BOC02,3.2
2010,HC503,BOC03,
2010,HC503,BOC03,1.2
2010,HC503,BOC03,1.5
2010,HC503,BOC03,3.8
2010,HC503,BOC03,3.2
2010,HC503,BOC03,4.3
2011,HC503,BOC01,3.1
2011,HC503,BOC02,3.1
2011,HC503,BOC02,3.2
2011,HC503,BOC03,3.7
2011,HC503,BOC03,1.1
2011,HC503,BOC03,1.6
2011,HC503,BOC03,3.7
2011,HC503,BOC03,3.2
2011,HC503,BOC03,4.2
2012,HC503,BOC01,3.1
2012,HC503,BOC02,3.1
2012,HC503,BOC02,3.1
2012,HC503,BOC03,
2012,HC503,BOC03,1.4
2012,HC503,BOC03,1.5
2012,HC503,BOC03,3.7
2012,HC503,BOC03,3.1
2012,HC503,BOC03,4.2
2013,HC503,BOC01,3.0
2013,HC503,BOC02,3.1
2013,HC503,BOC02,3.0
2013,HC503,BOC03,
2013,HC503,BOC03,1.4
2013,HC503,BOC03,1.5
2013,HC503,BOC03,3.6
2013,HC503,BOC03,3.0
2013,HC503,BOC03,4.0
2004,HC601,BOC01,2.3
2004,HC601,BOC02,2.8
2004,HC601,BOC02,2.0
2004,HC601,BOC03,0.1
2004,HC601,BOC03,0.4
2004,HC601,BOC03,2.2
2004,HC601,BOC03,3.9
2004,HC601,BOC03,2.9
2004,HC601,BOC03,4.1
2005,HC601,BOC01,2.2
2005,HC601,BOC02,2.7
2005,HC601,BOC02,1.9
2005,HC601,BOC03,0.1
2005,HC601,BOC03,0.4
2005,HC601,BOC03,2.1
2005,HC601,BOC03,3.7
2005,HC601,BOC03,2.7
2005,HC601,BOC03,3.9
2006,HC601,BOC01,2.2
2006,HC601,BOC02,2.7
2006,HC601,BOC02,1.9
2006,HC601,BOC03,0.1
2006,HC601,BOC03,0.4
2006,HC601,BOC03,2.2
2006,HC601,BOC03,3.7
2006,HC601,BOC03,2.8
2006,HC601,BOC03,3.9
2007,HC601,BOC01,2.2
2007,HC601,BOC02,2.7
2007,HC601,BOC02,1.9
2007,HC601,BOC03,0.1
2007,HC601,BOC03,0.4
2007,HC601,BOC03,2.1
2007,HC601,BOC03,3.7
2007,HC601,BOC03,2.7
2007,HC601,BOC03,3.9
2008,HC601,BOC01,2.3
2008,HC601,BOC02,2.8
2008,HC601,BOC02,2.0
2008,HC601,BOC03,0.1
2008,HC601,BOC03,0.4
2008,HC601,BOC03,2.2
2008,HC601,BOC03,3.7
2008,HC601,BOC03,2.8
2008,HC601,BOC03,3.9
2009,HC601,BOC01,2.2
2009,HC601,BOC02,2.7
